id,path,x1,x2,y1,y2,C,R
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,0.278,0.584,0.0892857142857,0.875,500.0,336.0
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,0.269879518072,0.884337349398,0.18,0.664,415.0,500.0
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,0.211480362538,0.616314199396,0.131578947368,0.928947368421,331.0,380.0
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,0.014,0.854,0.220588235294,0.991176470588,500.0,340.0
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,0.156,0.822,0.219948849105,0.624040920716,500.0,391.0
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,0.224,0.666,0.182692307692,0.637019230769,500.0,416.0
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0.00285714285714,0.98,0.148571428571,0.891428571429,350.0,350.0
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0.046,0.836,0.211081794195,0.836411609499,500.0,379.0
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0.09,0.598,0.173652694611,0.919161676647,500.0,334.0
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0.0690690690691,0.834834834835,0.39,0.634,333.0,500.0
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0.034375,0.9125,0.320833333333,0.9,320.0,240.0
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0.308,0.684,0.238461538462,0.661538461538,500.0,390.0
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,0.239361702128,0.835106382979,0.0900621118012,0.745341614907,376.0,322.0
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0.076,0.704,0.0416666666667,0.877777777778,500.0,360.0
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,0.04,0.872,0.232142857143,0.75,500.0,392.0
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,0.038,0.966,0.0532544378698,0.923076923077,500.0,338.0
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0.144,0.716,0.118694362018,0.786350148368,500.0,337.0
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0.432,0.874,0.238,0.546,500.0,500.0
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0.334190231362,0.853470437018,0.058,0.844,389.0,500.0
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0.117777777778,0.788888888889,0.092,0.726,450.0,500.0
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0.05,0.786,0.0443864229765,0.825065274151,500.0,383.0
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0.274,0.848,0.192771084337,0.66265060241,500.0,332.0
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0.05,0.865384615385,0.0779944289694,0.866295264624,260.0,359.0
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0.098,0.604,0.184,0.746666666667,500.0,375.0
51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0.302,0.922,0.304,0.704,500.0,500.0
53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0.12,0.984,0.0753246753247,0.997402597403,500.0,385.0
55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0.304,0.544,0.285714285714,0.75415282392,500.0,301.0
56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0.01,0.955,0.225,0.825,200.0,200.0
58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0.159722222222,0.84375,0.125,0.734375,288.0,192.0
60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0.192,0.712,0.240625,0.771875,500.0,320.0
62,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,0.404,0.732,0.0746666666667,0.981333333333,500.0,375.0
64,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,0.12,0.996,0.472324723247,0.863468634686,500.0,271.0
66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,0.082,0.856,0.237237237237,0.843843843844,500.0,333.0
67,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,0.312,0.564,0.105105105105,0.882882882883,500.0,333.0
69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,0.164,0.78,0.201612903226,0.900537634409,500.0,372.0
72,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,0.15,0.9,0.213333333333,0.952,500.0,375.0
73,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,0.082,0.85,0.0930930930931,0.873873873874,500.0,333.0
74,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,0.09,0.626,0.0844686648501,0.91825613079,500.0,367.0
75,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,0.076,0.708,0.273273273273,0.852852852853,500.0,333.0
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,0.03,0.848,0.0753012048193,0.900602409639,500.0,332.0
78,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,0.386,0.79,0.163701067616,0.857651245552,500.0,281.0
80,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,0.142,0.766,0.15015015015,0.858858858859,500.0,333.0
81,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,0.134,0.85,0.0750750750751,0.81981981982,500.0,333.0
84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,0.082,0.838,0.178,0.786,500.0,500.0
86,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,0.314,0.704,0.0753138075314,0.838912133891,500.0,478.0
89,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,0.168,0.738,0.0748502994012,0.994011976048,500.0,334.0
96,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,0.302,0.85,0.0613333333333,0.997333333333,500.0,375.0
97,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,0.092,0.898,0.189333333333,0.936,500.0,375.0
99,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,0.048,0.77,0.169871794872,0.75,500.0,312.0
102,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,0.184,0.846,0.137829912023,0.900293255132,500.0,341.0
104,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,0.249249249249,0.984984984985,0.18,0.968,333.0,500.0
105,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,0.254,0.758,0.165165165165,0.711711711712,500.0,333.0
109,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,0.129129129129,0.987987987988,0.124,0.988,333.0,500.0
110,002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,0.296,0.594,0.289672544081,0.775818639798,500.0,397.0
111,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,0.272,0.614,0.195845697329,0.916913946588,500.0,337.0
